cal_date,open,high,low,close,volume,mkt_cap
2018-06-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-06-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-06-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-06-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-06-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-06-29,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-02,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-30,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-07-31,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-01,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-02,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-07,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-08,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-29,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-30,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-08-31,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-07,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-09-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-08,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-29,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-30,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-10-31,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-01,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-02,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-07,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-08,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-29,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-11-30,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-07,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2018-12-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-02,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-07,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-08,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-29,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-30,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-01-31,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-01,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-02-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-01,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-07,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-08,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-03-29,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-01,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-02,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-08,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-29,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-04-30,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-07,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-08,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-29,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-30,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-05-31,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-06-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-01,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-02,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-08,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-29,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-30,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-07-31,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-01,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-02,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-07,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-08,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-29,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-08-30,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-02,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-09-30,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-08,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-29,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-30,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-10-31,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-01,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-07,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-08,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-11-29,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-02,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-30,63.0,63.58,57.75,57.88,2553654.09,0.0
2019-12-31,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-02,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-07,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-08,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-15,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-22,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-01-23,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-07,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-14,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-18,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-19,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-20,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-21,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-24,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-25,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-26,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-27,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-02-28,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-02,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-03,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-04,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-05,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-06,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-09,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-10,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-11,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-12,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-13,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-16,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-17,63.0,63.58,57.75,57.88,2553654.09,0.0
2020-03-18,63.0,63.58,57.75,57.88,2553654.09,0.0
