cal_date,open,high,low,close,volume,mkt_cap
2018-06-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-06-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-06-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-06-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-06-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-06-29,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-02,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-30,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-07-31,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-01,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-02,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-07,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-08,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-29,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-30,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-08-31,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-07,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-09-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-08,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-29,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-30,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-10-31,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-01,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-02,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-07,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-08,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-29,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-11-30,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-07,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2018-12-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-02,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-07,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-08,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-29,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-30,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-01-31,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-01,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-02-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-01,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-07,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-08,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-03-29,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-01,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-02,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-08,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-29,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-04-30,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-07,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-08,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-29,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-30,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-05-31,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-06-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-01,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-02,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-08,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-29,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-30,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-07-31,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-01,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-02,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-07,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-08,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-29,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-08-30,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-02,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-09-30,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-08,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-29,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-30,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-10-31,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-01,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-07,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-08,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-11-29,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-02,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-30,70.0,73.8,60.1,60.1,1191336.25,0.0
2019-12-31,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-02,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-07,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-08,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-15,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-22,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-01-23,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-07,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-14,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-18,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-19,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-20,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-21,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-24,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-25,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-26,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-27,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-02-28,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-02,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-03,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-04,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-05,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-06,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-09,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-10,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-11,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-12,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-13,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-16,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-17,70.0,73.8,60.1,60.1,1191336.25,0.0
2020-03-18,70.0,73.8,60.1,60.1,1191336.25,0.0
